shift,phase,duo_topk_mean,uniso_topk_mean,duo_max,uniso_max
sim_low,zs,0.8993646837770939,0.9976673983037472,0.9705290198326111,1.0
sim_low,fs10,0.8822329118847847,0.9984957501292229,0.9606722593307495,1.0
sim_low,fs20,0.8518155254423618,0.9967950396239758,0.911712110042572,1.0
sim_low,fs50,0.8694283738732338,0.996206808835268,0.9038166999816895,1.0
sim_mid,zs,0.31180819869041443,0.9969616122543812,0.43995124101638794,1.0
sim_mid,fs10,0.37060896679759026,0.9968212693929672,0.4575153589248657,1.0
sim_mid,fs20,0.32340070977807045,0.997443076223135,0.4372791647911072,1.0
sim_mid,fs50,0.3993716388940811,0.9974953383207321,0.5008209943771362,1.0
sim_high,zs,0.7197927683591843,0.9924974665045738,0.9006127715110779,1.0
sim_high,fs10,0.6401990875601768,0.991991363465786,0.6724081039428711,1.0
sim_high,fs20,0.6187906600534916,0.9900647439062595,0.6854901313781738,1.0
sim_high,fs50,0.6946570686995983,0.997808825224638,0.7766247987747192,1.0
