experiment,task,duo_n_runs,duo_max_mean,duo_max_std,duo_nmax_mean,duo_nmax_std,gtg_n_runs,gtg_max_mean,gtg_max_std,gtg_nmax_mean,gtg_nmax_std,duo_mfull_n_runs,duo_mfull_max_mean,duo_mfull_max_std,duo_mfull_nmax_mean,duo_mfull_nmax_std,duo_mfull_text_n_runs,duo_mfull_text_max_mean,duo_mfull_text_max_std,duo_mfull_text_nmax_mean,duo_mfull_text_nmax_std,duo_st_text_n_runs,duo_st_text_max_mean,duo_st_text_max_std,duo_st_text_nmax_mean,duo_st_text_nmax_std
epoch1500/mt_911054c35daad7e0_textcond_mttextonly_ce0.005_tsbias0.5_lr0.0002/w_text8_ret,superconductor,8,112.23,8.1,0.607,0.044,,,,,,5,100.741,12.287,0.545,0.066,8,112.23,8.1,0.607,0.044,5,76.99,3.889,0.416,0.021
epoch1500/mt_911054c35daad7e0_textcond_mttextonly_ce0.005_tsbias0.5_lr0.0002/w_text8_ret,tfbind8,8,0.958,0.019,0.958,0.019,,,,,,5,0.724,0.073,0.724,0.073,8,0.958,0.019,0.958,0.019,5,0.952,0.038,0.952,0.038
epoch1500/mt_911054c35daad7e0_textcond_mttextonly_ce0.005_tsbias0.5_lr0.0002/w_text8_ret,tfbind10,8,0.742,0.08,0.652,0.02,,,,,,5,0.632,0.171,0.625,0.043,8,0.742,0.08,0.652,0.02,5,0.787,0.076,0.663,0.019
epoch1500/mt_911054c35daad7e0_textcond_mttextonly_ce0.005_tsbias0.5_lr0.0002/w_text8_ret,gtopx2,8,-60.605,30.966,1.0,0.0,,,,,,5,-110.869,13.664,1.0,0.0,8,-60.605,30.966,1.0,0.0,5,-75.231,20.343,1.0,0.0
epoch1500/mt_911054c35daad7e0_textcond_mttextonly_ce0.005_tsbias0.5_lr0.0002/w_text8_ret,gtopx3,8,-29.31,2.237,1.0,0.0,,,,,,5,-51.175,14.311,1.0,0.0,8,-29.31,2.237,1.0,0.0,5,-51.9,13.122,1.0,0.0
epoch1500/mt_911054c35daad7e0_textcond_mttextonly_ce0.005_tsbias0.5_lr0.0002/w_text8_ret,gtopx4,8,-57.54,14.848,1.0,0.0,,,,,,5,-63.167,13.669,1.0,0.0,8,-57.54,14.848,1.0,0.0,5,-67.212,11.006,1.0,0.0
epoch1500/mt_911054c35daad7e0_textcond_mttextonly_ce0.005_tsbias0.5_lr0.0002/w_text8_ret,gtopx6,8,-35.646,12.122,1.0,0.0,,,,,,5,-61.664,10.439,1.0,0.0,8,-35.646,12.122,1.0,0.0,5,-58.092,2.617,1.0,0.0
gtopx2_multiple_runs_retcond,gtopx2,,,,,,5,-84.446,26.171,1.0,0.0,5,-110.869,13.664,1.0,0.0,8,-60.605,30.966,1.0,0.0,5,-75.231,20.343,1.0,0.0
gtopx3_multiple_runs_retcond,gtopx3,,,,,,5,-54.65,15.913,1.0,0.0,5,-51.175,14.311,1.0,0.0,8,-29.31,2.237,1.0,0.0,5,-51.9,13.122,1.0,0.0
gtopx4_multiple_runs_retcond,gtopx4,,,,,,5,-73.852,13.08,1.0,0.0,5,-63.167,13.669,1.0,0.0,8,-57.54,14.848,1.0,0.0,5,-67.212,11.006,1.0,0.0
gtopx6_multiple_runs_retcond,gtopx6,,,,,,5,-58.879,7.985,1.0,0.0,5,-61.664,10.439,1.0,0.0,8,-35.646,12.122,1.0,0.0,5,-58.092,2.617,1.0,0.0
multi_task/all_frac1.0_sigma0.0/1000x64_k20_eps0.05,ant,5,570.945,15.468,0.98,0.016,,,,,,5,565.699,8.628,0.975,0.009,8,567.907,6.584,0.977,0.007,5,490.691,17.299,0.898,0.018
multi_task/all_frac1.0_sigma0.0/1000x64_k20_eps0.05,dkitty,5,296.782,11.719,0.964,0.01,,,,,,5,300.777,13.149,0.967,0.011,8,313.148,3.56,0.977,0.003,5,252.83,10.977,0.928,0.009
multi_task/all_frac1.0_sigma0.0/1000x64_k20_eps0.05,tfbind8,5,0.698,0.101,0.698,0.101,,,,,,5,0.724,0.073,0.724,0.073,8,0.958,0.019,0.958,0.019,5,0.952,0.038,0.952,0.038
multi_task/all_frac1.0_sigma0.0/1000x64_k20_eps0.05,tfbind10,5,0.215,0.219,0.52,0.055,,,,,,5,0.632,0.171,0.625,0.043,8,0.742,0.08,0.652,0.02,5,0.787,0.076,0.663,0.019
multi_task/all_frac1.0_sigma0.0/1000x64_k20_eps0.05,gtopx2,5,-99.013,42.811,1.0,0.0,,,,,,5,-110.869,13.664,1.0,0.0,8,-60.605,30.966,1.0,0.0,5,-75.231,20.343,1.0,0.0
multi_task/all_frac1.0_sigma0.0/1000x64_k20_eps0.05,gtopx3,5,-86.325,61.474,1.0,0.0,,,,,,5,-51.175,14.311,1.0,0.0,8,-29.31,2.237,1.0,0.0,5,-51.9,13.122,1.0,0.0
multi_task/all_frac1.0_sigma0.0/1000x64_k20_eps0.05,gtopx4,5,-115.66,60.53,1.0,0.0,,,,,,5,-63.167,13.669,1.0,0.0,8,-57.54,14.848,1.0,0.0,5,-67.212,11.006,1.0,0.0
multi_task/all_frac1.0_sigma0.0/1000x64_k20_eps0.05,gtopx6,5,-82.709,45.592,1.0,0.0,,,,,,5,-61.664,10.439,1.0,0.0,8,-35.646,12.122,1.0,0.0,5,-58.092,2.617,1.0,0.0
multi_task/all_frac1.0_sigma0.0/1000x64_k20_eps0.05_ret,ant,5,549.403,14.552,0.958,0.015,,,,,,5,565.699,8.628,0.975,0.009,8,567.907,6.584,0.977,0.007,5,490.691,17.299,0.898,0.018
multi_task/all_frac1.0_sigma0.0/1000x64_k20_eps0.05_ret,dkitty,5,278.89,28.223,0.949,0.023,,,,,,5,300.777,13.149,0.967,0.011,8,313.148,3.56,0.977,0.003,5,252.83,10.977,0.928,0.009
multi_task/all_frac1.0_sigma0.0/1000x64_k20_eps0.05_ret,tfbind8,5,0.625,0.0,0.625,0.0,,,,,,5,0.724,0.073,0.724,0.073,8,0.958,0.019,0.958,0.019,5,0.952,0.038,0.952,0.038
multi_task/all_frac1.0_sigma0.0/1000x64_k20_eps0.05_ret,tfbind10,5,0.226,0.247,0.523,0.062,,,,,,5,0.632,0.171,0.625,0.043,8,0.742,0.08,0.652,0.02,5,0.787,0.076,0.663,0.019
multi_task/all_frac1.0_sigma0.0/1000x64_k20_eps0.05_ret,gtopx2,5,-95.757,13.597,1.0,0.0,,,,,,5,-110.869,13.664,1.0,0.0,8,-60.605,30.966,1.0,0.0,5,-75.231,20.343,1.0,0.0
multi_task/all_frac1.0_sigma0.0/1000x64_k20_eps0.05_ret,gtopx3,5,-37.563,17.879,1.0,0.0,,,,,,5,-51.175,14.311,1.0,0.0,8,-29.31,2.237,1.0,0.0,5,-51.9,13.122,1.0,0.0
multi_task/all_frac1.0_sigma0.0/1000x64_k20_eps0.05_ret,gtopx4,5,-70.24,9.362,1.0,0.0,,,,,,5,-63.167,13.669,1.0,0.0,8,-57.54,14.848,1.0,0.0,5,-67.212,11.006,1.0,0.0
multi_task/all_frac1.0_sigma0.0/1000x64_k20_eps0.05_ret,gtopx6,5,-50.938,13.617,1.0,0.0,,,,,,5,-61.664,10.439,1.0,0.0,8,-35.646,12.122,1.0,0.0,5,-58.092,2.617,1.0,0.0
multi_task/all_frac1.0_sigma0.0/mt_911054c35daad7e0,ant,5,565.699,8.628,0.975,0.009,,,,,,5,565.699,8.628,0.975,0.009,8,567.907,6.584,0.977,0.007,5,490.691,17.299,0.898,0.018
multi_task/all_frac1.0_sigma0.0/mt_911054c35daad7e0,dkitty,5,300.777,13.149,0.967,0.011,,,,,,5,300.777,13.149,0.967,0.011,8,313.148,3.56,0.977,0.003,5,252.83,10.977,0.928,0.009
