shift,phase,finetune_steps,rank,mt_text,zs_baseline,delta_vs_zs
sim_high,fs10,500,1,0.7043514251708984,4.445572853088379,-3.7412214279174805
sim_high,fs10,1000,2,1.7598390579223633,4.445572853088379,-2.6857337951660156
sim_high,fs10,2500,3,18.215702056884766,4.445572853088379,13.770129203796387
sim_high,fs10,1500,4,48.33495330810547,4.445572853088379,43.88938045501709
sim_high,fs10,2000,5,59.73333740234375,4.445572853088379,55.28776454925537
sim_high,fs20,500,1,1.4032487869262695,4.445572853088379,-3.0423240661621094
sim_high,fs20,1000,2,7.707416534423828,4.445572853088379,3.261843681335449
sim_high,fs20,2500,3,40.7642936706543,4.445572853088379,36.31872081756592
sim_high,fs20,1500,4,46.06098175048828,4.445572853088379,41.6154088973999
sim_high,fs20,2000,5,86.6767349243164,4.445572853088379,82.23116207122803
sim_high,fs50,500,1,0.8732748031616211,4.445572853088379,-3.572298049926758
sim_high,fs50,2000,2,1.2489118576049805,4.445572853088379,-3.1966609954833984
sim_high,fs50,1000,3,1.3968124389648438,4.445572853088379,-3.048760414123535
sim_high,fs50,2500,4,2.047238826751709,4.445572853088379,-2.39833402633667
sim_high,fs50,1500,5,2.56178617477417,4.445572853088379,-1.883786678314209
sim_low,fs10,1000,1,9.160431861877441,15.844436645507812,-6.684004783630371
sim_low,fs10,500,2,16.48260498046875,15.844436645507812,0.6381683349609375
sim_low,fs10,1500,3,32.71476364135742,15.844436645507812,16.87032699584961
sim_low,fs10,2000,4,81.4588851928711,15.844436645507812,65.61444854736328
sim_low,fs10,2500,5,134.95559692382812,15.844436645507812,119.11116027832031
sim_low,fs20,1000,1,20.324966430664062,15.844436645507812,4.48052978515625
sim_low,fs20,1500,2,33.1507682800293,15.844436645507812,17.306331634521484
sim_low,fs20,500,3,41.46788024902344,15.844436645507812,25.623443603515625
sim_low,fs20,2000,4,108.3873291015625,15.844436645507812,92.54289245605469
sim_low,fs20,2500,5,164.8810272216797,15.844436645507812,149.03659057617188
sim_low,fs50,2500,1,1.387314796447754,15.844436645507812,-14.457121849060059
sim_low,fs50,2000,2,13.835701942443848,15.844436645507812,-2.008734703063965
sim_low,fs50,1500,3,13.839091300964355,15.844436645507812,-2.005345344543457
sim_low,fs50,1000,4,22.280723571777344,15.844436645507812,6.436286926269531
sim_low,fs50,500,5,34.34645080566406,15.844436645507812,18.50201416015625
sim_mid,fs10,500,1,19.371707916259766,13.225265502929688,6.146442413330078
sim_mid,fs10,1000,2,25.774578094482422,13.225265502929688,12.549312591552734
sim_mid,fs10,1500,3,44.43183517456055,13.225265502929688,31.20656967163086
sim_mid,fs10,2000,4,49.76106262207031,13.225265502929688,36.535797119140625
sim_mid,fs10,2500,5,96.40989685058594,13.225265502929688,83.18463134765625
sim_mid,fs20,500,1,13.810139656066895,13.225265502929688,0.584874153137207
sim_mid,fs20,1000,2,16.538965225219727,13.225265502929688,3.313699722290039
sim_mid,fs20,1500,3,17.87881851196289,13.225265502929688,4.653553009033203
sim_mid,fs20,2000,4,21.877174377441406,13.225265502929688,8.651908874511719
sim_mid,fs20,2500,5,53.375221252441406,13.225265502929688,40.14995574951172
sim_mid,fs50,500,1,17.738264083862305,13.225265502929688,4.512998580932617
sim_mid,fs50,1500,2,20.602397918701172,13.225265502929688,7.377132415771484
sim_mid,fs50,1000,3,20.70875358581543,13.225265502929688,7.483488082885742
sim_mid,fs50,2000,4,43.106483459472656,13.225265502929688,29.88121795654297
sim_mid,fs50,2500,5,53.555606842041016,13.225265502929688,40.33034133911133
